0 OPEN 
295 NODE 42ce0cbf73f9e4c4fb93e8b701dc8327_b2faf29fd18ae0e937847e9ea30dff10
365 NODE 74b3872ae8fac91af68d131b16191ec1_b2faf29fd18ae0e937847e9ea30dff10
378 NODE 46aa6ea4082d2efe645adb8d4920eb71_b2faf29fd18ae0e937847e9ea30dff10
394 NODE 481bd7acca8128d682e0953da7b87233_b2faf29fd18ae0e937847e9ea30dff10
412 NODE b2e0a06d1b2e9ea9b8ebfb0a736333d6_b2faf29fd18ae0e937847e9ea30dff10
425 NODE 6e74b604dd480387f6b1af26539833e2_b2faf29fd18ae0e937847e9ea30dff10
439 NODE 487d4ec269f91f04b2c3821dc2ce863d_b2faf29fd18ae0e937847e9ea30dff10
489 NODE 8723200e4974fe12cf80ea30d6f8ffba_b2faf29fd18ae0e937847e9ea30dff10
507 NODE f2199cc7fcf065acb25b09bc3fcff3e_b2faf29fd18ae0e937847e9ea30dff10
525 NODE 505d4403131af323bf742a407e8c614f_b2faf29fd18ae0e937847e9ea30dff10
548 NODE b7472cb4d0fc4c4422ca6238a34b1d14_b2faf29fd18ae0e937847e9ea30dff10
564 NODE 14dddc0eb4687c87584a6f42f84d6f46_b2faf29fd18ae0e937847e9ea30dff10
574 NODE 2dc59fe203cedef01e570fd463b1ecba_b2faf29fd18ae0e937847e9ea30dff10
588 NODE cd23b3bc7cad4f29470c3fbc8366b7f4_b2faf29fd18ae0e937847e9ea30dff10
603 NODE b3421b3a8cd814b2ca34ef2d48a317b_b2faf29fd18ae0e937847e9ea30dff10
618 NODE a426828633a00f39b15f8e343e8d9c6c_b2faf29fd18ae0e937847e9ea30dff10
647 NODE d4956df49d1927fd1fbb1ec13417cbdd_b2faf29fd18ae0e937847e9ea30dff10
661 NODE 7c60222200cc083ebe0b963f07534a08_b2faf29fd18ae0e937847e9ea30dff10
675 NODE 6ce6528fd87c8c788ce19dc50071a5fa_b2faf29fd18ae0e937847e9ea30dff10
684 NODE efe37fcd8ea9327ef5bc4723eb4e70ec_b2faf29fd18ae0e937847e9ea30dff10
701 NODE 6953853d5c0fb50f2076c03a53af2ae0_b2faf29fd18ae0e937847e9ea30dff10
715 NODE cda069f46f039f0533af3396268def8d_b2faf29fd18ae0e937847e9ea30dff10
730 NODE e115439f9461c4149f41479a5c4157cc_b2faf29fd18ae0e937847e9ea30dff10
746 NODE 379a4cd01838379588d89ba6942d830b_b2faf29fd18ae0e937847e9ea30dff10
764 NODE ae148ea30a3e4820545bd1997de68397_b2faf29fd18ae0e937847e9ea30dff10
778 NODE 46ed565d55a69c389bba42e23086e135_b2faf29fd18ae0e937847e9ea30dff10
789 NODE 9cab39d1f3c70860df32ba7181ca5127_b2faf29fd18ae0e937847e9ea30dff10
803 NODE f5f6daeb1cdfb5a734525ae97a66eda4_b2faf29fd18ae0e937847e9ea30dff10
813 NODE 61d3fe547390ebd2c83369e42c1f79ee_b2faf29fd18ae0e937847e9ea30dff10
825 NODE 469f0bf628ea13b491842408b5d3563_b2faf29fd18ae0e937847e9ea30dff10
836 NODE 27b568d58de623c4cab6f11fcec470f8_b2faf29fd18ae0e937847e9ea30dff10
847 NODE 37399f688bc70143f3a002dac08d4e82_b2faf29fd18ae0e937847e9ea30dff10
857 NODE 5f69e61448668c8c5e39473ebfc56e57_b2faf29fd18ae0e937847e9ea30dff10
868 NODE 15b5275cf423044feb1bf8b3a56c5aef_b2faf29fd18ae0e937847e9ea30dff10
878 NODE 11d23923681a383c680c3e064357f360_b2faf29fd18ae0e937847e9ea30dff10
888 NODE b6f6408b712c8e291c59ba7a7b03e279_b2faf29fd18ae0e937847e9ea30dff10
899 NODE 18b40908e459b34deb129b7a00cc4031_b2faf29fd18ae0e937847e9ea30dff10
907 NODE 3749ba4dc14324e754344d9a4d591db5_b2faf29fd18ae0e937847e9ea30dff10
915 NODE 975890e0db37ab13181dd93ad33a2e42_b2faf29fd18ae0e937847e9ea30dff10
920 CLOSE 
