0 OPEN 
279 NODE 71226650f59cf7ed3a4249eb4650f86b_b2faf29fd18ae0e937847e9ea30dff10
334 NODE e308adafc6d307724ca9e651c1190b57_b2faf29fd18ae0e937847e9ea30dff10
373 NODE 43ee5d45b1a0f7d2fe614316555ad14a_b2faf29fd18ae0e937847e9ea30dff10
399 NODE 1ce0886b11c847c0b362354e33c536fe_b2faf29fd18ae0e937847e9ea30dff10
414 NODE 73ad23b7041c874d51a5d9d70f3d178e_b2faf29fd18ae0e937847e9ea30dff10
432 NODE 2c1401e02fcb71dcd0b8ae109aa33cf8_b2faf29fd18ae0e937847e9ea30dff10
448 NODE b44c4e802f8c4693d46b2c03cd77da04_b2faf29fd18ae0e937847e9ea30dff10
465 NODE 204e56d5d5f4c940f41abbed717a026e_b2faf29fd18ae0e937847e9ea30dff10
478 NODE 7d3efab1d19ba4027d550bb205b6b137_b2faf29fd18ae0e937847e9ea30dff10
495 NODE 8c094b33a9d5fdbd9d339fc9c2f51044_b2faf29fd18ae0e937847e9ea30dff10
504 NODE eb18d9468fe5c822433b43bf1424b1d4_b2faf29fd18ae0e937847e9ea30dff10
517 NODE b8451576c3917fed0404c0808e79244_b2faf29fd18ae0e937847e9ea30dff10
532 NODE 350d86ff52dc157b3326eb107ea01d5e_b2faf29fd18ae0e937847e9ea30dff10
544 NODE daa2850ba565ebfa93a7a17e5b6d8ca8_b2faf29fd18ae0e937847e9ea30dff10
560 NODE 75e63aa4f20e77ba97491b78d3dbc05f_b2faf29fd18ae0e937847e9ea30dff10
568 NODE 7e2e54cc0b71d4f446e66832e32ebe97_b2faf29fd18ae0e937847e9ea30dff10
586 NODE c3c7feeb4b6244f1a3615d29fd068abb_b2faf29fd18ae0e937847e9ea30dff10
595 NODE d58d6350c4254baef4a051c3a1896e6b_b2faf29fd18ae0e937847e9ea30dff10
629 NODE 69785246bbf8cedee3d22b03a15a3383_b2faf29fd18ae0e937847e9ea30dff10
639 NODE 9336dba33d7abcb5ad528892ea915197_b2faf29fd18ae0e937847e9ea30dff10
650 NODE 335cc06225dcbdc3fbd8b9a3ec4785e5_b2faf29fd18ae0e937847e9ea30dff10
660 NODE 95f9ad38286df7b339958ba7134cf472_b2faf29fd18ae0e937847e9ea30dff10
678 NODE 58ec432315e266e4f04870e3c85ac63a_b2faf29fd18ae0e937847e9ea30dff10
688 NODE a70b569cbdf9c51e54a7c6ce10822712_b2faf29fd18ae0e937847e9ea30dff10
700 NODE 8e10379ebfdbb814cf64d13487b9d6c8_b2faf29fd18ae0e937847e9ea30dff10
710 NODE c5fd70da98fefa100bbeba5729d8902f_b2faf29fd18ae0e937847e9ea30dff10
725 NODE 1cf8d5564c04ac1f449a1d9d63b5ce92_b2faf29fd18ae0e937847e9ea30dff10
737 NODE 63250e23f20eab03d15d324c33877239_b2faf29fd18ae0e937847e9ea30dff10
751 NODE 42b50bd3cdf0f2a3c0ebd19405ff4410_b2faf29fd18ae0e937847e9ea30dff10
761 NODE d210ab636502e05e06711da1afbf0c4f_b2faf29fd18ae0e937847e9ea30dff10
779 NODE 395fd0ade34bd89aeda2c3f9219e7d52_b2faf29fd18ae0e937847e9ea30dff10
792 NODE 56b413665d1cd6f8e3011e7628b119fe_b2faf29fd18ae0e937847e9ea30dff10
808 NODE 1bb07a89368b7dbc608f6e4fec8dcfd7_b2faf29fd18ae0e937847e9ea30dff10
820 NODE c8e7406c74d9bc8c5b7d68cb4622ebaa_b2faf29fd18ae0e937847e9ea30dff10
835 NODE bb29c89448a24930fc3d4d61b5cc0ce1_b2faf29fd18ae0e937847e9ea30dff10
849 NODE 1d4f615ae2dacdd3881998440f5cee8c_b2faf29fd18ae0e937847e9ea30dff10
862 NODE 8f733f62f699786a95377255af718e6e_b2faf29fd18ae0e937847e9ea30dff10
882 NODE 1bd01e4ded89b6b1ca1f6b59de56fcb2_b2faf29fd18ae0e937847e9ea30dff10
895 NODE 24d792dc42f63695b25d72ae196ae003_b2faf29fd18ae0e937847e9ea30dff10
906 NODE 711158bedb83facb8e9788130c0f9f2a_b2faf29fd18ae0e937847e9ea30dff10
917 NODE 8de6b05d6ac07acb294d5c2670b9d416_b2faf29fd18ae0e937847e9ea30dff10
928 NODE 60f9ae6d476e8b08bf312952894763e_b2faf29fd18ae0e937847e9ea30dff10
939 NODE eddca81a54f0010c8fdbed42ea890796_b2faf29fd18ae0e937847e9ea30dff10
948 NODE 6c99b0f9016f05e8cab960e6c178d06b_b2faf29fd18ae0e937847e9ea30dff10
957 NODE be042cc30efcba7acd816d083edebe11_b2faf29fd18ae0e937847e9ea30dff10
967 NODE 61e56c4d1f4542b7446929f02d8681b8_b2faf29fd18ae0e937847e9ea30dff10
980 NODE 88a6b3d709979ef567ddf72dd27dd19a_b2faf29fd18ae0e937847e9ea30dff10
990 NODE 5a92e75116cb778a114d24a40cff8707_b2faf29fd18ae0e937847e9ea30dff10
1001 NODE 3c5e07af144616979c7cca499fadfc6e_b2faf29fd18ae0e937847e9ea30dff10
1008 NODE 50f4590d8d44c1a176b4da8275bc8a8e_b2faf29fd18ae0e937847e9ea30dff10
1020 NODE a27031549744e825d2c53c66b2f212d9_b2faf29fd18ae0e937847e9ea30dff10
1031 NODE 61ffeb493f45cbba188f208079d8ec90_b2faf29fd18ae0e937847e9ea30dff10
1043 NODE 99ac5ec705c85261a0ab28a1b0afa701_b2faf29fd18ae0e937847e9ea30dff10
1053 NODE baa4c2a78808c5ceee9068280cfe0565_b2faf29fd18ae0e937847e9ea30dff10
1065 NODE 7d56867410f9c960af8b950ad581756f_b2faf29fd18ae0e937847e9ea30dff10
1077 NODE 29b913356852e051fee2acce3a577932_b2faf29fd18ae0e937847e9ea30dff10
1090 NODE fb6c3eebc94230ffbc255c9fac236d26_b2faf29fd18ae0e937847e9ea30dff10
1101 NODE 7de346d1ce233451f34c10a47e80dd29_b2faf29fd18ae0e937847e9ea30dff10
1116 NODE 3dcb2e84bf4282664c14b01cc62046db_b2faf29fd18ae0e937847e9ea30dff10
1130 NODE 4dc5d3d26f18aebc424021575cc695cd_b2faf29fd18ae0e937847e9ea30dff10
1150 NODE a3d3d951db7edf4f4a7869ab2482d0f5_b2faf29fd18ae0e937847e9ea30dff10
1162 NODE 312b53b243e6bbdd5eb6b411ab7f6e29_b2faf29fd18ae0e937847e9ea30dff10
1176 NODE 6d2e40777861bfea3b7af461057e8a9_b2faf29fd18ae0e937847e9ea30dff10
1188 NODE 99ef807d98b1ad2e5ad1d7131d88325f_b2faf29fd18ae0e937847e9ea30dff10
1198 NODE 865b7f26f1a5b5d83c61134c83ea546f_b2faf29fd18ae0e937847e9ea30dff10
1210 NODE ddb8abd62f4f8a957c28b9d5166b87d9_b2faf29fd18ae0e937847e9ea30dff10
1223 NODE f52f1e75329bb5729a9e26956ed0b40_b2faf29fd18ae0e937847e9ea30dff10
1234 NODE b5b79f2df5112ad0c136ff70741a1ed4_b2faf29fd18ae0e937847e9ea30dff10
1245 NODE 21227308771c477a3ac07cf80623a25f_b2faf29fd18ae0e937847e9ea30dff10
1256 NODE 20db2275cd57e951d89a99d48567736b_b2faf29fd18ae0e937847e9ea30dff10
1272 NODE 7d948c9839cf15ac1d7c953fbde41b2a_b2faf29fd18ae0e937847e9ea30dff10
1284 NODE 14b980b2d8562358309d3a1686128dfa_b2faf29fd18ae0e937847e9ea30dff10
1296 NODE d54ca9ebffed14a025a949987ba6fd75_b2faf29fd18ae0e937847e9ea30dff10
1309 NODE 2ec3d549769ad6511a521b4a701912b6_b2faf29fd18ae0e937847e9ea30dff10
1322 NODE 1c81240a22fbcee74e27b1a65cc9de3a_b2faf29fd18ae0e937847e9ea30dff10
1335 NODE 816cd20a7eed1faa4dd7ced19b46a56c_b2faf29fd18ae0e937847e9ea30dff10
1346 NODE eaf8c40a853002af0574caf147df8151_b2faf29fd18ae0e937847e9ea30dff10
1356 NODE b8f996c062425cc2c311fe3adf5bff65_b2faf29fd18ae0e937847e9ea30dff10
1370 NODE 873b3bb475b8516e64bff7ff3d39b518_b2faf29fd18ae0e937847e9ea30dff10
1383 NODE 66d2189ec96e902e1eb5889437c9edd2_b2faf29fd18ae0e937847e9ea30dff10
1397 NODE 13102a1a2cfaed29a30c174b78b426da_b2faf29fd18ae0e937847e9ea30dff10
1411 NODE e3e138d80d3f8210fe3ce1a9dd9eb0f3_b2faf29fd18ae0e937847e9ea30dff10
1427 NODE b3f8b2e1547f62fd0b1dc4556f6c2de4_b2faf29fd18ae0e937847e9ea30dff10
1444 NODE caf107012498d29569f42f8233ad42f1_b2faf29fd18ae0e937847e9ea30dff10
1478 NODE a21cb2dad9d7cacb5b27699f1a68c8cd_b2faf29fd18ae0e937847e9ea30dff10
1494 NODE a36e1c1ba75beb5479d4fda5250ed495_b2faf29fd18ae0e937847e9ea30dff10
1511 NODE 817bec320f14582750e7412bc89f0a79_b2faf29fd18ae0e937847e9ea30dff10
1537 NODE f6028c99031668c3b39fcefba75ee627_b2faf29fd18ae0e937847e9ea30dff10
1546 NODE 1a8baaee41aff714ee8adec6cfbe82b9_b2faf29fd18ae0e937847e9ea30dff10
1556 NODE 9fb184c782935254611c17ab442ba8e_b2faf29fd18ae0e937847e9ea30dff10
1567 NODE 6b6acd53a4c0a5be5a52f325994bfebe_b2faf29fd18ae0e937847e9ea30dff10
1580 NODE e74810e6e5c4b053559f4a11fb7b2a0b_b2faf29fd18ae0e937847e9ea30dff10
