0 OPEN 
752 NODE 51451a41cdbbb484742dd83c385e4d7f_b2faf29fd18ae0e937847e9ea30dff10
908 NODE f17d3c1f55cf6ab10e5742f762912663_b2faf29fd18ae0e937847e9ea30dff10
1017 NODE 3a5310189ac29e197996ae115a64102c_b2faf29fd18ae0e937847e9ea30dff10
1095 NODE b16905c4a22f3098d30120df720c2c81_b2faf29fd18ae0e937847e9ea30dff10
1155 NODE 13867f2f33e5b0e0cf27b4cd6e6ff719_b2faf29fd18ae0e937847e9ea30dff10
1226 NODE c354a98353d9b21684c985ddc79199a1_b2faf29fd18ae0e937847e9ea30dff10
1291 NODE ee4a5aa9c64f60c8b8222d70a6566058_b2faf29fd18ae0e937847e9ea30dff10
1340 NODE 46cfe52a2472700dd6a69ceb3eb28316_b2faf29fd18ae0e937847e9ea30dff10
1397 NODE 21c2e93efb32b057f9940b8acc81b48b_b2faf29fd18ae0e937847e9ea30dff10
1451 NODE 30644ad952cff1eb55da396f8d4947d1_b2faf29fd18ae0e937847e9ea30dff10
1517 NODE 60a638102cbc9d0f8958670a3fbb923c_b2faf29fd18ae0e937847e9ea30dff10
1564 NODE e5c3b86d1183507191945bd90c96bea9_b2faf29fd18ae0e937847e9ea30dff10
1609 NODE eceb9cb468bc23a4cea9e51d76a66523_b2faf29fd18ae0e937847e9ea30dff10
1665 NODE 671bce5e0efab37f12547c0af31d1be3_b2faf29fd18ae0e937847e9ea30dff10
1713 NODE cb587adbcb5787d7e8958255533b0602_b2faf29fd18ae0e937847e9ea30dff10
1772 NODE c43ae9db69b83e1de8ed1be77b49daff_b2faf29fd18ae0e937847e9ea30dff10
1838 NODE b5a59016c63ac8e6a86f85b58ed459c7_b2faf29fd18ae0e937847e9ea30dff10
1874 NODE b7514cf7d9ca84921388ff64f23e063_b2faf29fd18ae0e937847e9ea30dff10
1913 NODE 774e7659ed539c059445d031b8e84bb3_b2faf29fd18ae0e937847e9ea30dff10
1940 NODE f8b1d982fbae3c6cd3ade38efd45d2df_b2faf29fd18ae0e937847e9ea30dff10
1970 NODE 9a06eb654770b7f32ff15c2eaa176d12_b2faf29fd18ae0e937847e9ea30dff10
1999 NODE bce4a50f48623461e11a3f4fc1afc5c7_b2faf29fd18ae0e937847e9ea30dff10
2031 NODE 83b41ea8b21dab4250e020bc7736f40c_b2faf29fd18ae0e937847e9ea30dff10
2062 NODE 8961fb370df3705c989751fc42186ca9_b2faf29fd18ae0e937847e9ea30dff10
2094 NODE d51a5364139b03ba049b4c2652d02924_b2faf29fd18ae0e937847e9ea30dff10
2128 NODE 4971845713830fe6f01a1a0394088261_b2faf29fd18ae0e937847e9ea30dff10
2160 NODE f15cea0e65a20610240708d2fb3a53d4_b2faf29fd18ae0e937847e9ea30dff10
2195 NODE ad50306843a7d884f85e261651962a47_b2faf29fd18ae0e937847e9ea30dff10
