0 OPEN 
256 NODE 951db23ac507e524df98b29c01969a21_b2faf29fd18ae0e937847e9ea30dff10
316 NODE eb698e6f672bf30fd1d8c55bdcc1346c_b2faf29fd18ae0e937847e9ea30dff10
337 NODE 71d550969bf17ea6918ab8d6b59af450_b2faf29fd18ae0e937847e9ea30dff10
363 NODE c4e15c715a1d543e85c39b08932a00bc_b2faf29fd18ae0e937847e9ea30dff10
375 NODE 441e7dbb71aead6bf3eafc3c4779e9bd_b2faf29fd18ae0e937847e9ea30dff10
390 NODE d4311b9b5bb981695682f20a4695fa4d_b2faf29fd18ae0e937847e9ea30dff10
409 NODE e860471c5a71b491451e2086608b323d_b2faf29fd18ae0e937847e9ea30dff10
427 NODE d4e613c3abb5d4e0218108dd0cfe9a9_b2faf29fd18ae0e937847e9ea30dff10
442 NODE 8cfe9b7eaf7354872b193f953ad2419_b2faf29fd18ae0e937847e9ea30dff10
458 NODE a28d5a9df881a0858ceea1bde80bd903_b2faf29fd18ae0e937847e9ea30dff10
471 NODE 8a85419f2cee616f1ac0d3041e825f61_b2faf29fd18ae0e937847e9ea30dff10
490 NODE 4a6ce551ddeb55ed67622edd88b50341_b2faf29fd18ae0e937847e9ea30dff10
510 NODE 32d8aa769a25fd904c2697bfa2ebd808_b2faf29fd18ae0e937847e9ea30dff10
528 NODE b53f3748fe578ee8e6c02b99940d47d6_b2faf29fd18ae0e937847e9ea30dff10
542 NODE c7d819331cb35fd6201e6b9e8b7f4109_b2faf29fd18ae0e937847e9ea30dff10
551 NODE 52bf6ad6736659ac345c036a52edca29_b2faf29fd18ae0e937847e9ea30dff10
561 NODE 7340a4c0326ecb9c7cccbb50d62b7d82_b2faf29fd18ae0e937847e9ea30dff10
570 NODE ade1c03de8b3c3c14c45fc290714fce2_b2faf29fd18ae0e937847e9ea30dff10
579 NODE f1e86f5d4454ffd3bd36319d0f368f25_b2faf29fd18ae0e937847e9ea30dff10
595 NODE c53dd69a4d70a2869ae07f93bc949cd8_b2faf29fd18ae0e937847e9ea30dff10
609 NODE 1918c02fa52174c6a4ccf705deb2d1cd_b2faf29fd18ae0e937847e9ea30dff10
616 NODE 1b034809080d2f1850131c752317c47d_b2faf29fd18ae0e937847e9ea30dff10
623 NODE 72dffcf24bd81851e0ae9d795b0ffc2b_b2faf29fd18ae0e937847e9ea30dff10
632 NODE 4ef10574a8ff157bab16ca474f175d26_b2faf29fd18ae0e937847e9ea30dff10
642 NODE 35188ef8f19780d68d173cca6d9e8d0c_b2faf29fd18ae0e937847e9ea30dff10
650 NODE 51b5b66efd2b9d0ee06da7de2c6ebb3f_b2faf29fd18ae0e937847e9ea30dff10
660 NODE 913d6337dca35b3767cbb1d1b0b490a1_b2faf29fd18ae0e937847e9ea30dff10
671 NODE bf311681469cb208452f558a719a2655_b2faf29fd18ae0e937847e9ea30dff10
678 NODE 8ba5477eb3c85891ef7fb686e30fd724_b2faf29fd18ae0e937847e9ea30dff10
685 NODE 97b7837eb2eaae361ee3d8bb7f3935f9_b2faf29fd18ae0e937847e9ea30dff10
690 NODE 1c7fbb40ec90755ba31d0cf4d581e277_b2faf29fd18ae0e937847e9ea30dff10
698 NODE 40d4e60399de246f47f6354389be1011_b2faf29fd18ae0e937847e9ea30dff10
708 NODE f0f0154820bec8b032aae91a807bfe2_b2faf29fd18ae0e937847e9ea30dff10
718 NODE a69379fce4a9a936f817a328fae5af8e_b2faf29fd18ae0e937847e9ea30dff10
726 NODE 94bf9803d1433d1f6c0ea1ab405ec407_b2faf29fd18ae0e937847e9ea30dff10
736 NODE cfece1cd7e1d61025c4f1806e2b212bf_b2faf29fd18ae0e937847e9ea30dff10
742 NODE 81c208099b66ae4817af34a9033d662_b2faf29fd18ae0e937847e9ea30dff10
752 NODE 91ca24d6078e174a227d953761d77b6d_b2faf29fd18ae0e937847e9ea30dff10
759 NODE a43339450ee9c88834b45d6c22ba0efa_b2faf29fd18ae0e937847e9ea30dff10
767 NODE b3096cca8a35b0ba2e81d695aee661ec_b2faf29fd18ae0e937847e9ea30dff10
775 NODE 2bae4b6c4ca41d38426be235b635f59e_b2faf29fd18ae0e937847e9ea30dff10
782 NODE f792f77eae48f1be445981e5fc36cc99_b2faf29fd18ae0e937847e9ea30dff10
790 NODE f66b1980e4128d0143bdaae640393a1f_b2faf29fd18ae0e937847e9ea30dff10
796 NODE 9a1b45a29ff89d4eb195e41b97f0e543_b2faf29fd18ae0e937847e9ea30dff10
803 NODE 6583ae415578ad2494a9e4c38015a6cc_b2faf29fd18ae0e937847e9ea30dff10
810 NODE 1cf41416c7458eeacb3c5dd7b81d99b3_b2faf29fd18ae0e937847e9ea30dff10
818 NODE 38b9f61ed4affbddd5261868506daae3_b2faf29fd18ae0e937847e9ea30dff10
826 NODE b01a504fb9933dd2993c328682c9ec68_b2faf29fd18ae0e937847e9ea30dff10
835 NODE f8cc4c6e601826aecf77ed7f0e67a704_b2faf29fd18ae0e937847e9ea30dff10
843 NODE bbf4b59a9e9888fff2352a1255825b53_b2faf29fd18ae0e937847e9ea30dff10
849 NODE 3833e938149faa6e8b3c3f6f9b3a0915_b2faf29fd18ae0e937847e9ea30dff10
858 NODE db049122d8444623cdfdeca3baa516f2_b2faf29fd18ae0e937847e9ea30dff10
863 NODE b576aade75fbe66662c895252dd704e9_b2faf29fd18ae0e937847e9ea30dff10
870 NODE 84fc1c1c43d607e8c7ff6d76742997f_b2faf29fd18ae0e937847e9ea30dff10
877 NODE 83787be1e64199af39d575cd977ee699_b2faf29fd18ae0e937847e9ea30dff10
883 NODE ee86bfac8d65b9b7fb4a6150a1363195_b2faf29fd18ae0e937847e9ea30dff10
889 NODE c73b044bb706cd5255773157cff9c9ab_b2faf29fd18ae0e937847e9ea30dff10
897 NODE 293b1116ca225ee1298792dca6170905_b2faf29fd18ae0e937847e9ea30dff10
907 NODE f77efaa284423e118cd7904f1e66de7a_b2faf29fd18ae0e937847e9ea30dff10
916 NODE 530f4a0fd73ac1947fe85fd70ac83c2d_b2faf29fd18ae0e937847e9ea30dff10
926 NODE f1db84eb5fc7449fbfd2a351c5a768e7_b2faf29fd18ae0e937847e9ea30dff10
933 NODE 97911adf8e939176f72ac92d3bc1cab6_b2faf29fd18ae0e937847e9ea30dff10
942 NODE 1b7e4a7b40f28c9b1497cf2eb1681b32_b2faf29fd18ae0e937847e9ea30dff10
956 NODE bb8a44f9ed99d1dc7e0456e23384765a_b2faf29fd18ae0e937847e9ea30dff10
964 NODE 8bee2ef2e769e68917d17b773891b257_b2faf29fd18ae0e937847e9ea30dff10
971 NODE aee32b3ab4913a0c2be962e6928ab771_b2faf29fd18ae0e937847e9ea30dff10
976 NODE f41a0834853c153fa5149b06809bdddb_b2faf29fd18ae0e937847e9ea30dff10
981 NODE f4e9c28df05fd8cb55c352277c0d5cab_b2faf29fd18ae0e937847e9ea30dff10
987 NODE db114c7d11f71ce5a0a01f702b55f2e9_b2faf29fd18ae0e937847e9ea30dff10
994 NODE 418ff9ed931975e0f5d681d7c1be2b9b_b2faf29fd18ae0e937847e9ea30dff10
1000 NODE 98ad972e00324a05178d28eb7f437e2b_b2faf29fd18ae0e937847e9ea30dff10
1005 NODE 2a5939c4d8775189b66603b85a3c0b08_b2faf29fd18ae0e937847e9ea30dff10
1011 NODE b78156c55b049a3dcb8da863fe4ba545_b2faf29fd18ae0e937847e9ea30dff10
1016 NODE bac4866dde7ae61323cf2fe34d2840b4_b2faf29fd18ae0e937847e9ea30dff10
1021 NODE ffcd617221bc438f2d3531fa3ba7fb8c_b2faf29fd18ae0e937847e9ea30dff10
1026 NODE 65cfb9fe9d9d73262a70db9b9d57d1a0_b2faf29fd18ae0e937847e9ea30dff10
1033 NODE a40cdcd76881fb35b0c3a9dc9a37753f_b2faf29fd18ae0e937847e9ea30dff10
1041 NODE 21a9d1fdb9363167cfeb55bdddcc5bcf_b2faf29fd18ae0e937847e9ea30dff10
1047 NODE 4e1cd122893419d2782f153537d431ce_b2faf29fd18ae0e937847e9ea30dff10
1052 NODE ccc85d02ee2cbd5db983bbc4054b7434_b2faf29fd18ae0e937847e9ea30dff10
1058 NODE 57f819e2421b0cb83c9de4625c39f9b5_b2faf29fd18ae0e937847e9ea30dff10
1064 NODE 39adeda899b964a16acea7bf305ce0fa_b2faf29fd18ae0e937847e9ea30dff10
1071 NODE 52bfe72062c2c97832943b5bf9957eb5_b2faf29fd18ae0e937847e9ea30dff10
1078 NODE ef05cd1b1fcfd94fdf4ee58ab06baedf_b2faf29fd18ae0e937847e9ea30dff10
1084 NODE 7f87b6be77d6c5d8ef52cfb3831da7b9_b2faf29fd18ae0e937847e9ea30dff10
1089 NODE 906b51ee7506d29e3d49187565cb51a5_b2faf29fd18ae0e937847e9ea30dff10
1095 NODE 1f9616e925eb6e093b84357651d7ea89_b2faf29fd18ae0e937847e9ea30dff10
1102 NODE 4a1881b52d7211c363b898f1535555c7_b2faf29fd18ae0e937847e9ea30dff10
1109 NODE 520d3955f37dc9469e6ed66685950c48_b2faf29fd18ae0e937847e9ea30dff10
1115 NODE 3d73410259207ebc29c6f7313536f5a0_b2faf29fd18ae0e937847e9ea30dff10
1120 NODE 817800ce1551698f40e0e1c86b7131b9_b2faf29fd18ae0e937847e9ea30dff10
1126 NODE 3c53b97a7ecef762c39aab6df250dbc5_b2faf29fd18ae0e937847e9ea30dff10
1132 NODE 8078591945a8bb3538837854aa874ecc_b2faf29fd18ae0e937847e9ea30dff10
1139 NODE 21064144d96a6e17dd3219d072a01254_b2faf29fd18ae0e937847e9ea30dff10
1152 NODE 7606e4888a3015bc7671fa9892d6e795_b2faf29fd18ae0e937847e9ea30dff10
1160 NODE 4ce92bc5e1b74d59a905a19a07b4ac52_b2faf29fd18ae0e937847e9ea30dff10
1166 NODE d128273cfd4409fb791752b731c9e486_b2faf29fd18ae0e937847e9ea30dff10
1174 NODE a80205d279bd45e05a5fdac8b3b1cc05_b2faf29fd18ae0e937847e9ea30dff10
1181 NODE dd2388c487c2e92aa066a5470cee4b0a_b2faf29fd18ae0e937847e9ea30dff10
1187 NODE 4d186c17c740c78847cc5309164c4ac4_b2faf29fd18ae0e937847e9ea30dff10
1194 NODE a96e9f444648568123cd647a711a064a_b2faf29fd18ae0e937847e9ea30dff10
1202 NODE d57e7232d2f6436fca063a391463c96f_b2faf29fd18ae0e937847e9ea30dff10
1208 NODE 472cbabfd6ad29afb0ddeffd4f93a103_b2faf29fd18ae0e937847e9ea30dff10
1215 NODE d05a353f199f8e9f30677b1f95af75c2_b2faf29fd18ae0e937847e9ea30dff10
1222 NODE 401ffd155a8b596c5f38939caf0b85b8_b2faf29fd18ae0e937847e9ea30dff10
1229 NODE 1fed2a60b4ed3ecc2df1c107f1d842e0_b2faf29fd18ae0e937847e9ea30dff10
1234 NODE 78d2f66f9de82b158439114b97f1293f_b2faf29fd18ae0e937847e9ea30dff10
1239 NODE df51aef27bfd86ba5d14e192d9d0dea4_b2faf29fd18ae0e937847e9ea30dff10
1246 NODE 8309f263b4661518ed4d5d79b3cf18b0_b2faf29fd18ae0e937847e9ea30dff10
1253 NODE 8b8b992c76a64eff1cb161876197f6d1_b2faf29fd18ae0e937847e9ea30dff10
1259 NODE b3641db9c15542d503a47cf9c5acb3be_b2faf29fd18ae0e937847e9ea30dff10
1265 NODE 2b51950453f80ceef1be8c45daf09404_b2faf29fd18ae0e937847e9ea30dff10
1275 NODE 31eeae6ccab6acdd4e2090a42ee7e2a2_b2faf29fd18ae0e937847e9ea30dff10
1282 NODE 1003fc40d5390992007b3124f6098a10_b2faf29fd18ae0e937847e9ea30dff10
1289 NODE 73be1a8c3df52dd86eddd574f7e5ab7_b2faf29fd18ae0e937847e9ea30dff10
1296 NODE e91757e5754d0d51d7ee7e0d18603f58_b2faf29fd18ae0e937847e9ea30dff10
1305 NODE 8a4b790be78825e89e75be9b7fea1a2a_b2faf29fd18ae0e937847e9ea30dff10
1312 NODE bb52169dd6f3d25b8fe35245f1f32abf_b2faf29fd18ae0e937847e9ea30dff10
1318 NODE f276f9acaa08df72a83961f070d926b2_b2faf29fd18ae0e937847e9ea30dff10
1324 NODE e302e0ed322ebfbe841c8cd5ceb1a31c_b2faf29fd18ae0e937847e9ea30dff10
1330 NODE 65eef0fb81d1d8db4011a1b7b44fcf1e_b2faf29fd18ae0e937847e9ea30dff10
1337 NODE 1ed03f0923aebb3d14096beb8eb6409_b2faf29fd18ae0e937847e9ea30dff10
1346 NODE d2d9ca74289dfeef36135e2c3896de73_b2faf29fd18ae0e937847e9ea30dff10
1357 NODE e382368bcbf57eea9565b65e5b6d7a3b_b2faf29fd18ae0e937847e9ea30dff10
1362 NODE 4d3327023d1d23357950bd68728b2e68_b2faf29fd18ae0e937847e9ea30dff10
1369 NODE 940718def9559023c4389d9db9c8a3c5_b2faf29fd18ae0e937847e9ea30dff10
1377 NODE 9f3b720b9e6e38e0e3de4b4bcde1c0c8_b2faf29fd18ae0e937847e9ea30dff10
1387 NODE bb0a3625b8d0324a56fd7dd048d9842b_b2faf29fd18ae0e937847e9ea30dff10
1395 NODE be0a91c9d9bd4ae8c05d2e5d07f13403_b2faf29fd18ae0e937847e9ea30dff10
1404 NODE b88392e8db9b09c441ff401e7519774e_b2faf29fd18ae0e937847e9ea30dff10
1411 NODE 11a94b7ce2cd5c74ccb61664a3f76d88_b2faf29fd18ae0e937847e9ea30dff10
1417 NODE ad46e64adcd3e1090163deab73857551_b2faf29fd18ae0e937847e9ea30dff10
1423 NODE 3f6a43ea09107d23ba9ecd69f954e1f0_b2faf29fd18ae0e937847e9ea30dff10
1430 NODE 463a32113046c7900e0a940fd530dbbe_b2faf29fd18ae0e937847e9ea30dff10
1438 NODE 7d60217aa3663e170e5309fc0fc56f36_b2faf29fd18ae0e937847e9ea30dff10
