0 OPEN 
271 NODE fdefe9a5ee43cc0ab5001ef54c791796_b2faf29fd18ae0e937847e9ea30dff10
341 NODE 672815260662f7eb85257b1ca7f03774_b2faf29fd18ae0e937847e9ea30dff10
352 NODE b587ecbc1811b73b28531cfc82793d89_b2faf29fd18ae0e937847e9ea30dff10
368 NODE 4aa26f6e526705a25d4a16d06bb9734d_b2faf29fd18ae0e937847e9ea30dff10
386 NODE 4831f9ef43a74e752849063ec30b8035_b2faf29fd18ae0e937847e9ea30dff10
429 NODE 6f153c9dce82440f58ed3b361a1cea07_b2faf29fd18ae0e937847e9ea30dff10
442 NODE 71a1e271b2019d2ccc1ed314fa638384_b2faf29fd18ae0e937847e9ea30dff10
459 NODE 9f5faa87064ee36a116feb059a924066_b2faf29fd18ae0e937847e9ea30dff10
484 NODE a69236f52288b91bd29e47985b430574_b2faf29fd18ae0e937847e9ea30dff10
507 NODE b7eb3ba1f288d8d15c74a7ae7c204c11_b2faf29fd18ae0e937847e9ea30dff10
541 NODE ebff51101b88c5fb7a86a989f48c72a0_b2faf29fd18ae0e937847e9ea30dff10
555 NODE 4ea4ac9b8687b67a7aaa4d495a3faba1_b2faf29fd18ae0e937847e9ea30dff10
569 NODE df7f68100dc8a16b6f523f7b14f659e_b2faf29fd18ae0e937847e9ea30dff10
584 NODE 5a4e9578cd699d790197c417e41f10f8_b2faf29fd18ae0e937847e9ea30dff10
616 NODE 4c32fb99d99ace7831fe479c726b5e57_b2faf29fd18ae0e937847e9ea30dff10
632 NODE 2f77d6357e61e255b99bd9713c74d2e4_b2faf29fd18ae0e937847e9ea30dff10
655 NODE 577a2db1460a8f1626ccb15fdbb61056_b2faf29fd18ae0e937847e9ea30dff10
665 NODE 5d93e485e77cf9fb4130cd5b14649e3_b2faf29fd18ae0e937847e9ea30dff10
680 NODE 94aae7c4f7fd44c4adbaac68a9911704_b2faf29fd18ae0e937847e9ea30dff10
701 NODE 9fc9ef7dc7563a7cde063cd6e07b531f_b2faf29fd18ae0e937847e9ea30dff10
717 NODE 37c04f9168d3ccf198674e0f54fb8e3b_b2faf29fd18ae0e937847e9ea30dff10
733 NODE 5b034599e16ad2e7db8874c00a2e6116_b2faf29fd18ae0e937847e9ea30dff10
752 NODE ff5e3f35bab4802c4848d2da28e3b650_b2faf29fd18ae0e937847e9ea30dff10
765 NODE ae5fbc7bfcbc04904b57ee63f6cc3095_b2faf29fd18ae0e937847e9ea30dff10
776 NODE b5af317db1c7a205ead103b7279b9196_b2faf29fd18ae0e937847e9ea30dff10
790 NODE 2faa949f2b4b88a07b4bec86ae85e470_b2faf29fd18ae0e937847e9ea30dff10
800 NODE 853dd01079d26cd22e67571f5e0ae223_b2faf29fd18ae0e937847e9ea30dff10
815 NODE f9e37af7e7d98281fd5d206e2febb201_b2faf29fd18ae0e937847e9ea30dff10
827 NODE 28692a943c1db3524fe190b7de696652_b2faf29fd18ae0e937847e9ea30dff10
838 NODE 27c82062f58c8dc121180c7acf0e022e_b2faf29fd18ae0e937847e9ea30dff10
857 NODE 7cfef807ce5f8183f726d6f6e1c33c11_b2faf29fd18ae0e937847e9ea30dff10
869 NODE eaf789779bab3de5a206a49df97e97cd_b2faf29fd18ae0e937847e9ea30dff10
885 NODE 8e70c206bc07e5a7ce709fc4a2c4ba94_b2faf29fd18ae0e937847e9ea30dff10
