0 OPEN 
780 NODE fdefe9a5ee43cc0ab5001ef54c791796_b2faf29fd18ae0e937847e9ea30dff10
897 NODE 672815260662f7eb85257b1ca7f03774_b2faf29fd18ae0e937847e9ea30dff10
954 NODE b587ecbc1811b73b28531cfc82793d89_b2faf29fd18ae0e937847e9ea30dff10
1016 NODE 4aa26f6e526705a25d4a16d06bb9734d_b2faf29fd18ae0e937847e9ea30dff10
1070 NODE 4831f9ef43a74e752849063ec30b8035_b2faf29fd18ae0e937847e9ea30dff10
1138 NODE 6f153c9dce82440f58ed3b361a1cea07_b2faf29fd18ae0e937847e9ea30dff10
1196 NODE 71a1e271b2019d2ccc1ed314fa638384_b2faf29fd18ae0e937847e9ea30dff10
1260 NODE 9f5faa87064ee36a116feb059a924066_b2faf29fd18ae0e937847e9ea30dff10
1316 NODE a69236f52288b91bd29e47985b430574_b2faf29fd18ae0e937847e9ea30dff10
1369 NODE b7eb3ba1f288d8d15c74a7ae7c204c11_b2faf29fd18ae0e937847e9ea30dff10
1426 NODE ebff51101b88c5fb7a86a989f48c72a0_b2faf29fd18ae0e937847e9ea30dff10
1474 NODE 4ea4ac9b8687b67a7aaa4d495a3faba1_b2faf29fd18ae0e937847e9ea30dff10
1526 NODE df7f68100dc8a16b6f523f7b14f659e_b2faf29fd18ae0e937847e9ea30dff10
1564 NODE 5a4e9578cd699d790197c417e41f10f8_b2faf29fd18ae0e937847e9ea30dff10
1609 NODE 65380860231e9b14632b286d033756c4_b2faf29fd18ae0e937847e9ea30dff10
1672 NODE 6e9f529cea3d139dc223bf3d71770208_b2faf29fd18ae0e937847e9ea30dff10
1723 NODE 2d00544fd1b21927e90e1ef2f5c035e3_b2faf29fd18ae0e937847e9ea30dff10
1772 NODE e32cfbaf3930cf6bcef1cd59c704ec78_b2faf29fd18ae0e937847e9ea30dff10
1813 NODE 4d0aaa639761890d2b94af6fa0089933_b2faf29fd18ae0e937847e9ea30dff10
1852 NODE cdeeff0f88424374f297aa4a3275fd8c_b2faf29fd18ae0e937847e9ea30dff10
1884 NODE 53a13659a77fe32c86e40b511517a6f_b2faf29fd18ae0e937847e9ea30dff10
1931 NODE a937a19bf9e9a568f0edeef203cbcca4_b2faf29fd18ae0e937847e9ea30dff10
1979 NODE 496f31178685085d188018f3c7d11f5b_b2faf29fd18ae0e937847e9ea30dff10
