1 OPEN 
420 NODE 67bd5d4834d5c8c81d221ee0e117a26d_b2faf29fd18ae0e937847e9ea30dff10
498 NODE 262043af18b7ee744c98862471e5f237_b2faf29fd18ae0e937847e9ea30dff10
518 NODE 7f11da4a9aa7bec15afcdccbb5529109_b2faf29fd18ae0e937847e9ea30dff10
566 NODE 32c279de794d0116f9fc66d1aec40230_b2faf29fd18ae0e937847e9ea30dff10
621 NODE 6d1099fa21b721a1c61dc8dacf3b6b79_b2faf29fd18ae0e937847e9ea30dff10
664 NODE 816fc92e4c606d2d6ff724a4162f0729_b2faf29fd18ae0e937847e9ea30dff10
679 NODE acf62d65f730b044b1d6a1c7df9b3d91_b2faf29fd18ae0e937847e9ea30dff10
700 NODE dc50c0ce57192054179287e17d7e9779_b2faf29fd18ae0e937847e9ea30dff10
735 NODE 8b79146caa4c8d213e7cd5d922830738_b2faf29fd18ae0e937847e9ea30dff10
773 NODE 498f4c7c23d2a5856166b943b07f8b4b_b2faf29fd18ae0e937847e9ea30dff10
840 NODE 66b04142a71ad34888251b845f25999d_b2faf29fd18ae0e937847e9ea30dff10
886 NODE 7ddabf48c2fe063e3a0b1f22c5b4041f_b2faf29fd18ae0e937847e9ea30dff10
916 NODE a5d88b022c55f28ad841f15244ffa61_b2faf29fd18ae0e937847e9ea30dff10
945 NODE 1c779eccf505b51fadfabd34209048e6_b2faf29fd18ae0e937847e9ea30dff10
967 NODE 4e411bc972f14b9906b8b2c78e5b7313_b2faf29fd18ae0e937847e9ea30dff10
1004 NODE 1378b2bf8a83ea0da34a81870ee88f38_b2faf29fd18ae0e937847e9ea30dff10
1045 NODE 5538ba9c94d15ae1e126e17ce28699f5_b2faf29fd18ae0e937847e9ea30dff10
1081 NODE 811089ffb1600ac0763eaab106dc1ede_b2faf29fd18ae0e937847e9ea30dff10
1107 NODE d3b2d505584348766a7bbf91d5e8b9d4_b2faf29fd18ae0e937847e9ea30dff10
1128 NODE f0816152c3bed2173a394111fc17d985_b2faf29fd18ae0e937847e9ea30dff10
1145 NODE e1cf3cb46c4fcee368527c70a1972c46_b2faf29fd18ae0e937847e9ea30dff10
1164 NODE d898bf57a3d62660770d1767dd816281_b2faf29fd18ae0e937847e9ea30dff10
1181 NODE e6548ff987f5624ce6122320cd4f90cc_b2faf29fd18ae0e937847e9ea30dff10
1223 NODE e108459d59773ec03e7bc2b39ddd6792_b2faf29fd18ae0e937847e9ea30dff10
1246 NODE 729a5fd22678359b3adafec1dbc81cc6_b2faf29fd18ae0e937847e9ea30dff10
1285 NODE 2615cce677a3e49261b12f0f59f19a4b_b2faf29fd18ae0e937847e9ea30dff10
1301 NODE d846cb562cc562a538cef7bbcc37b230_b2faf29fd18ae0e937847e9ea30dff10
1332 NODE 6ebaa98c177dea5f71fe6a4173b78ba1_b2faf29fd18ae0e937847e9ea30dff10
1470 NODE 6fa811528803f585aa7ce44c21f070e4_b2faf29fd18ae0e937847e9ea30dff10
