0 OPEN 
705 NODE 9ddacbef02af0274a6e76d316674840_b2faf29fd18ae0e937847e9ea30dff10
826 NODE 9a57d61015f3b97e7b4810c92b51ee77_b2faf29fd18ae0e937847e9ea30dff10
893 NODE 64e1a5a050020ec5b4da826435057dbb_b2faf29fd18ae0e937847e9ea30dff10
950 NODE 2a4a423b4e60e443d36fbb6e04d34a28_b2faf29fd18ae0e937847e9ea30dff10
1007 NODE 9f0c0e046c3ff612de69f77176248ebc_b2faf29fd18ae0e937847e9ea30dff10
1089 NODE cdd2d1648cbbf695612ccb24377b8f99_b2faf29fd18ae0e937847e9ea30dff10
1156 NODE a2da25384c12f6d401f859e51d3bf3d4_b2faf29fd18ae0e937847e9ea30dff10
1213 NODE 81098876ba3eb16c1b9a86819ea29fe8_b2faf29fd18ae0e937847e9ea30dff10
1265 NODE e55ad1bfbf4896a7795f103e8bd2e805_b2faf29fd18ae0e937847e9ea30dff10
1313 NODE 9ce82039e6b8e4baba21036d625c3602_b2faf29fd18ae0e937847e9ea30dff10
1370 NODE 714aee490a568b4926ed07fb614b6b9f_b2faf29fd18ae0e937847e9ea30dff10
1409 NODE 1eebf98a02ca83a4eca6ac97511cda51_b2faf29fd18ae0e937847e9ea30dff10
1456 NODE 8ccade6485ff84609855a4cab4085b73_b2faf29fd18ae0e937847e9ea30dff10
1498 NODE 6a0b6ed1cbb65b75ce49a1a0e2c5a813_b2faf29fd18ae0e937847e9ea30dff10
1560 NODE c4620aa36ddcf4e3e4f979adf3f4450f_b2faf29fd18ae0e937847e9ea30dff10
1632 NODE bf8d09de95fe0a128db5ca17a27105ad_b2faf29fd18ae0e937847e9ea30dff10
1674 NODE 7235200e9956a0520ab23a6258be4fb5_b2faf29fd18ae0e937847e9ea30dff10
1725 NODE f0157dd515b29337b0bc9cb689a9c49b_b2faf29fd18ae0e937847e9ea30dff10
1766 NODE 229c0ba6af1e9a4159339c6893f04e67_b2faf29fd18ae0e937847e9ea30dff10
1810 NODE 28c7fd909c032bf179bd59e7cafb9f9_b2faf29fd18ae0e937847e9ea30dff10
1845 NODE a8f10a53354001e0db3927e1deb3cad1_b2faf29fd18ae0e937847e9ea30dff10
1893 NODE 946d8418341776937eb492af023139a7_b2faf29fd18ae0e937847e9ea30dff10
1948 NODE 2945a3a2437bc808dbf0821f34a2da59_b2faf29fd18ae0e937847e9ea30dff10
1982 NODE 6dec1cd45d85f12e9e355a42d85c98a0_b2faf29fd18ae0e937847e9ea30dff10
2017 NODE 33249602d636868ae4abfc586f0afd14_b2faf29fd18ae0e937847e9ea30dff10
2054 NODE b0321b238cf33622eb93fee4f0688d74_b2faf29fd18ae0e937847e9ea30dff10
2107 NODE 564a1bccf3c3785f645df01c1540a028_b2faf29fd18ae0e937847e9ea30dff10
2164 NODE f9ee50eb698f0bd97b8233310f3ff81_b2faf29fd18ae0e937847e9ea30dff10
2216 NODE 5a6086e1e1d19433a8149b62549cf7e4_b2faf29fd18ae0e937847e9ea30dff10
2257 NODE 4379c87568744ea1992d508cff683c83_b2faf29fd18ae0e937847e9ea30dff10
2290 NODE 8c9bbc3363d92bffe8dd4af4a3f2c4ae_b2faf29fd18ae0e937847e9ea30dff10
2327 NODE f0f1088adfc2d083699a3aa6daac8a7e_b2faf29fd18ae0e937847e9ea30dff10
2358 NODE 1918096726d8cb02f547d6c187187823_b2faf29fd18ae0e937847e9ea30dff10
2399 NODE e6ddff3150537e5a2b0e1a7fb50fd776_b2faf29fd18ae0e937847e9ea30dff10
2433 NODE 2a15d279c8e7300d5ca46b89554b98b8_b2faf29fd18ae0e937847e9ea30dff10
2477 NODE 3e86df1786a9f5b2b06db7ff8f609fc1_b2faf29fd18ae0e937847e9ea30dff10
2540 NODE 6fb0b3ddbb0ac68fc853ab28d286b61b_b2faf29fd18ae0e937847e9ea30dff10
2595 NODE bd917904770074775c65f3fc25a77dab_b2faf29fd18ae0e937847e9ea30dff10
2632 NODE 13f1f5da60264a13fa0d398b42bbca12_b2faf29fd18ae0e937847e9ea30dff10
2667 NODE a0e1fbce5b3f5d3c988eb366dbebd36b_b2faf29fd18ae0e937847e9ea30dff10
2707 NODE c1195146e48f3eea891012a5c0f2211c_b2faf29fd18ae0e937847e9ea30dff10
2741 NODE 34e6fcba839882bcdf80dd8e0fc68a18_b2faf29fd18ae0e937847e9ea30dff10
2778 NODE 8bde3b7dea5257bd5a92bd18bbde3a34_b2faf29fd18ae0e937847e9ea30dff10
2825 NODE f35b2b3a626c0940888a812c975bc83d_b2faf29fd18ae0e937847e9ea30dff10
2870 NODE a95d9dce787ac1ca53a2f5bea271ed9a_b2faf29fd18ae0e937847e9ea30dff10
2919 NODE 143034375bf34ea0a99b2cdd1966d2d6_b2faf29fd18ae0e937847e9ea30dff10
2955 NODE 5202e44ba0e1103be0af4220c27e975d_b2faf29fd18ae0e937847e9ea30dff10
2991 NODE 30ae3f33f9f0ad4aecaf2badb7837211_b2faf29fd18ae0e937847e9ea30dff10
3024 NODE c6ea208fe7198e70fbdfd2719a5586f4_b2faf29fd18ae0e937847e9ea30dff10
3060 NODE 713092dad5d9fbbdcfb5086d18c3cf4e_b2faf29fd18ae0e937847e9ea30dff10
3094 NODE 3d92247e8a6fb32b95bb6122029f3f9b_b2faf29fd18ae0e937847e9ea30dff10
3099 CLOSE 
