1 OPEN 
887 NODE ba2121eca7d4078bf39399b0896ac0cb_b2faf29fd18ae0e937847e9ea30dff10
1015 NODE 44d14fe85a996edfc7454c1b836bcba9_b2faf29fd18ae0e937847e9ea30dff10
1076 NODE ef3a456a7ab24cf2eac02d6229631b53_b2faf29fd18ae0e937847e9ea30dff10
1162 NODE a5040c2252e9a55938061e25c9ce0cdd_b2faf29fd18ae0e937847e9ea30dff10
1277 NODE e978dcc2514b97cc1fa0f4dc1cac416b_b2faf29fd18ae0e937847e9ea30dff10
1332 NODE 4737b154ed9fff2ab5854760a48fd2ac_b2faf29fd18ae0e937847e9ea30dff10
1394 NODE d210cc55e7a8b8bf53fa973b4aa06552_b2faf29fd18ae0e937847e9ea30dff10
1451 NODE 2742d051e4fa4277d6f7864b71aea38a_b2faf29fd18ae0e937847e9ea30dff10
1502 NODE 5a5cb55dbb09be18b4d0c3ae279cac68_b2faf29fd18ae0e937847e9ea30dff10
1545 NODE d5cc2d88e66b281faf5d33dd9407fcf0_b2faf29fd18ae0e937847e9ea30dff10
1589 NODE 98cdd507b39dc8830f16db6e8b266e43_b2faf29fd18ae0e937847e9ea30dff10
1639 NODE ef69966fd9d5dbe1d0bc06d66e731bc9_b2faf29fd18ae0e937847e9ea30dff10
1686 NODE ae74cfd1926b9e946d134e7839d18fca_b2faf29fd18ae0e937847e9ea30dff10
1726 NODE 6127200e3b69def5074a683a3a5050f9_b2faf29fd18ae0e937847e9ea30dff10
1762 NODE ce818fd35d006910f0819e39cd4bce6a_b2faf29fd18ae0e937847e9ea30dff10
1815 NODE b74df3ff16481432b9f89828be92a263_b2faf29fd18ae0e937847e9ea30dff10
1855 NODE 280657c239427bf7a0d231d73bbebb8f_b2faf29fd18ae0e937847e9ea30dff10
1900 NODE b4a273f1b4f66a745c49d6b0f40021ab_b2faf29fd18ae0e937847e9ea30dff10
1907 CLOSE 
